item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111843375,Evaristo Tatamo Sixpence,Q1425821,RENAMO,Q605787,Tete Province,2020-01-13,,,Q111843375-F8227FF5-4B46-44E1-BC7D-B06A75F7AF8E
Q111843376,Faizal Américo António,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843376-31D3B95D-3FCE-42CE-BD63-455062C6F10E
Q111841519,Faruk Osman,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,male,Q111841519-F918177B-DF43-4EFD-8377-2F1A2ACA85F3
Q111841520,Felizarda Clara de Castro,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,female,Q111841520-D6E89910-C1BA-418D-A955-B7117C2992B6
Q111841522,Fernando Bismarque Ali,Q668181,Democratic Movement of Mozambique,Q622794,Nampula Province,2020-01-13,,male,Q111841522-B59E5740-6B7C-4D33-BBC9-9B3A88C273C7
Q111841523,Fernando Jossias Matouassanga,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,male,Q111841523-F31BF25E-99EC-4FC2-AC42-250372026B4D
Q111841525,Fernando Mendes João Lavieque,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,male,Q111841525-5A62AA7F-9437-4108-A687-F629B2ACEFDF
Q111841528,Filipe Jaime,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,male,Q111841528-7EA87A41-AACA-4D43-A820-68490344BB03
Q111843377,Flora Bela das Neves Caetano Meque,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,,Q111843377-3ACE4FE0-1976-443B-95C6-5BAAD53FA3CA
Q111843378,Flora Enosse José,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,,Q111843378-5CC6D809-1F4F-49B5-996C-D30C8DB6878F
Q97148662,Francisca Domingos Tomás,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,female,Q97148662-31D49BC0-BCFF-4ED0-BA2D-693EF5C61AE3
Q111841533,Francisco Maingue,Q1425821,RENAMO,Q605787,Tete Province,2020-01-13,,male,Q111841533-2F90110F-F1D5-45D6-BA25-775E52847C2A
Q111841534,Francisco Ussene Mucanheia,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,male,Q111841534-D34C824A-6F66-4AAE-851F-67F6F0261F4E
Q111843379,Fátima Machona Dias,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843379-09F66121-F6B0-40B8-A4CB-30A3103625DE
