constituency,name,party
Niassa,Mustafa Rachide,RENAMO
Niassa,Maria Josefa Miguel,FRELIMO
Niassa,Mario Ciquenta Naula,RENAMO
Niassa,Sausande Mpatula Kuakula,FRELIMO
Niassa,Cristovao Sucane,RENAMO
Sofala,Raul Manuel Domingos,RENAMO
Sofala,Armando Emilio Guebuza,FRELIMO
Sofala,Augusto Janeiro Gumbaza,RENAMO
Sofala,Isau Joaquim Meneses,FRELIMO
Sofala,Lutero Chibirobiro Simango,RENAMO
Sofala,Jaime Mussa Massesse,FRELIMO
Sofala,Chico Francisco,RENAMO
Sofala,Maria das Dores de Antonio,FRELIMO
Sofala,Jose Augusto Mazuana,RENAMO
Sofala,Manuel Fernandes Pereira,RENAMO
Sofala,Luis Inacio,RENAMO
Sofala,Rui Domingos de Sousa,RENAMO
Sofala,Lerina dos Prazeres dos Santos,RENAMO
Sofala,Francisco Domingos Machambisse,RENAMO
Sofala,Raul Jose Xavier da Conceicao,RENAMO
Sofala,Hipolito Jesus Fernandes X do Couto,RENAMO
Sofala,Cristovao Felipe Soares,RENAMO
Sofala,Francisco de Assis Masquil,RENAMO
Sofala,Jose Mascarenhas,RENAMO
Sofala,Eduardo Augusto Elias,RENAMO
Sofala,Cristovao Gemusse Nhacatete,RENAMO
Tete,David Alone Selemane,RENAMO
Tete,Mariano de Araujo Matsinha,FRELIMO
Tete,Elvino Jose de Sousa Ferrao,RENAMO
Tete,Sergio Vieira,FRELIMO
Tete,Manuel Henrique Franque,RENAMO
Tete,Armando Maria Pereira Constantino Julio,FRELIMO
Tete,Virgilia T C Guerreiro,RENAMO
Tete,Filipa Baltazar da Costa,FRELIMO
Tete,Antonio K Mafuta Banda,RENAMO
Tete,Virgilio Francisco Ferrao,FRELIMO
Tete,Abel Gabriel Mabunda,RENAMO
Tete,Teresa Sanilane Romao Tembo,FRELIMO
Tete,Celina Elias Solomone,RENAMO
Tete,Ana Maria Rafael,FRELIMO
Tete,Samuel Brito Simango,RENAMO
Tete,Luisa Dias Diogo,FRELIMO
Tete,Matias Alberto Ngulela,RENAMO
Tete,Inacio Jossitala,RENAMO
Zambezia,Manuel Pereira,RENAMO
Zambezia,Feliciano Salomao Gundana,FRELIMO
Zambezia,Luis Benedito Gouveia,RENAMO
Zambezia,Bonifacio Gruveta Massamba,FRELIMO
Zambezia,Maximo Diogo Jose Dias,RENAMO
Zambezia,Virgilia Bernardo Neto Alexandre dos Santos Matabel,FRELIMO
Zambezia,Anselmo Ernesto Victor,RENAMO
Zambezia,Orlando Pedro Candua,FRELIMO
Zambezia,Maneca Daniel,RENAMO
Zambezia,Maria Matilde Alves Lampiao Soares,FRELIMO
Zambezia,Eva Teixeira Caetano Dias,RENAMO
Zambezia,Pedro Armando Alberto,FRELIMO
Zambezia,Jeronimo Malagueta,RENAMO
Zambezia,Mateus Anibal Malichocho,FRELIMO
Zambezia,Carlos Alexandre dos Reis,RENAMO
Zambezia,Aurelio Amandio Zilhao,FRELIMO
Zambezia,Rachide Joao Tayobe Mahomed,RENAMO
Zambezia,Palmira Argelina Pedro Francisco,FRELIMO
Zambezia,Leopoldo Alfredo,RENAMO
Zambezia,Sousa Salvador Munhaua,FRELIMO
Zambezia,Ilidio Antonio Alfredo,RENAMO
Zambezia,Elisa Nicolau Jose de Melo,FRELIMO
Zambezia,Jose Carlos Rodrigues Palaco,RENAMO
Zambezia,Lucilia Jose Manuel Nota Hama,FRELIMO
Zambezia,Linete Eunice Gonoury,RENAMO
Zambezia,Inacio Henrique Carneiro Ngonde,FRELIMO
Zambezia,Horacio Jose Namalve,RENAMO
Zambezia,Helder dos Santos Felix Monteiro Muteia,FRELIMO
Zambezia,Domingos M Assulai,RENAMO
Zambezia,Zeca Castro Morgado,FRELIMO
Zambezia,Luis Boavida Mudivela,RENAMO
Zambezia,Jose Zeca Arijama,RENAMO
Zambezia,Raul Ribeiro Munhuaua,RENAMO
Zambezia,Sebastiao da Costa Sebastia,RENAMO
Zambezia,Elisa Maria Silvestre,RENAMO
Zambezia,Jose do Rosario,RENAMO
Zambezia,Henriques Bone Mulieca,RENAMO
Zambezia,Constância Antonio Devesse,RENAMO
Zambezia,Jose Manteigas Gabriel,RENAMO
Zambezia,Ahamed Ismail Musa,RENAMO
Zambezia,Maria Ines Martins,RENAMO
Zambezia,Joao Manuel Alvaro Goncalves,RENAMO
Zambezia,Joe Lucas de Figueireiro,RENAMO
Zambezia,Faustino Mateus,RENAMO
Zambezia,Lurdes Antonio Manuel,RENAMO
Zambezia,Helena da Zinha Paulo,RENAMO
Zambezia,Paulino Luis Branquinho Valia,RENAMO
Zambezia,Maria Isabel Ferreira Lima,RENAMO
Zambezia,Mahamd Bacir Abdul Remane,RENAMO
